vd	V(out)
-8.940000000000043e-03	2.207653e+00
-8.930000000000044e-03	2.207583e+00
-8.920000000000044e-03	2.207512e+00
-8.910000000000045e-03	2.207442e+00
-8.900000000000045e-03	2.207372e+00
-8.890000000000045e-03	2.207301e+00
-8.880000000000046e-03	2.207231e+00
-8.870000000000046e-03	2.207160e+00
-8.860000000000047e-03	2.207089e+00
-8.850000000000047e-03	2.207018e+00
-8.840000000000047e-03	2.206948e+00
-8.830000000000048e-03	2.206877e+00
-8.820000000000048e-03	2.206805e+00
-8.810000000000049e-03	2.206734e+00
-8.800000000000049e-03	2.206663e+00
-8.790000000000050e-03	2.206592e+00
-8.780000000000050e-03	2.206521e+00
-8.770000000000050e-03	2.206449e+00
-8.760000000000051e-03	2.206378e+00
-8.750000000000051e-03	2.206306e+00
-8.740000000000052e-03	2.206234e+00
-8.730000000000052e-03	2.206162e+00
-8.720000000000052e-03	2.206091e+00
-8.710000000000053e-03	2.206019e+00
-8.700000000000053e-03	2.205947e+00
-8.690000000000054e-03	2.205875e+00
-8.680000000000054e-03	2.205802e+00
-8.670000000000054e-03	2.205730e+00
-8.660000000000055e-03	2.205658e+00
-8.650000000000055e-03	2.205585e+00
-8.640000000000056e-03	2.205513e+00
-8.630000000000056e-03	2.205441e+00
-8.620000000000056e-03	2.205368e+00
-8.610000000000057e-03	2.205295e+00
-8.600000000000057e-03	2.205222e+00
-8.590000000000058e-03	2.205149e+00
-8.580000000000058e-03	2.205076e+00
-8.570000000000058e-03	2.205003e+00
-8.560000000000059e-03	2.204930e+00
-8.550000000000059e-03	2.204857e+00
-8.540000000000060e-03	2.204784e+00
-8.530000000000060e-03	2.204710e+00
-8.520000000000061e-03	2.204637e+00
-8.510000000000061e-03	2.204563e+00
-8.500000000000061e-03	2.204490e+00
-8.490000000000062e-03	2.204416e+00
-8.480000000000062e-03	2.204342e+00
-8.470000000000063e-03	2.204268e+00
-8.460000000000063e-03	2.204194e+00
-8.450000000000063e-03	2.204120e+00
-8.440000000000064e-03	2.204046e+00
-8.430000000000064e-03	2.203972e+00
-8.420000000000065e-03	2.203898e+00
-8.410000000000065e-03	2.203823e+00
-8.400000000000065e-03	2.203749e+00
-8.390000000000066e-03	2.203674e+00
-8.380000000000066e-03	2.203600e+00
-8.370000000000067e-03	2.203525e+00
-8.360000000000067e-03	2.203450e+00
-8.350000000000067e-03	2.203375e+00
-8.340000000000068e-03	2.203300e+00
-8.330000000000068e-03	2.203225e+00
-8.320000000000069e-03	2.203150e+00
-8.310000000000069e-03	2.203075e+00
-8.300000000000069e-03	2.202999e+00
-8.290000000000070e-03	2.202924e+00
-8.280000000000070e-03	2.202848e+00
-8.270000000000071e-03	2.202773e+00
-8.260000000000071e-03	2.202697e+00
-8.250000000000072e-03	2.202621e+00
-8.240000000000072e-03	2.202545e+00
-8.230000000000072e-03	2.202469e+00
-8.220000000000073e-03	2.202394e+00
-8.210000000000073e-03	2.202317e+00
-8.200000000000074e-03	2.202241e+00
-8.190000000000074e-03	2.202165e+00
-8.180000000000074e-03	2.202088e+00
-8.170000000000075e-03	2.202012e+00
-8.160000000000075e-03	2.201935e+00
-8.150000000000076e-03	2.201859e+00
-8.140000000000076e-03	2.201782e+00
-8.130000000000076e-03	2.201705e+00
-8.120000000000077e-03	2.201628e+00
-8.110000000000077e-03	2.201551e+00
-8.100000000000078e-03	2.201474e+00
-8.090000000000078e-03	2.201396e+00
-8.080000000000078e-03	2.201319e+00
-8.070000000000079e-03	2.201242e+00
-8.060000000000079e-03	2.201164e+00
-8.050000000000080e-03	2.201087e+00
-8.040000000000080e-03	2.201009e+00
-8.030000000000080e-03	2.200931e+00
-8.020000000000081e-03	2.200853e+00
-8.010000000000081e-03	2.200775e+00
-8.000000000000082e-03	2.200697e+00
-7.990000000000082e-03	2.200619e+00
-7.980000000000083e-03	2.200541e+00
-7.970000000000083e-03	2.200463e+00
-7.960000000000083e-03	2.200384e+00
-7.950000000000084e-03	2.200306e+00
-7.940000000000084e-03	2.200227e+00
-7.930000000000085e-03	2.200148e+00
-7.920000000000085e-03	2.200069e+00
-7.910000000000085e-03	2.199991e+00
-7.900000000000086e-03	2.199911e+00
-7.890000000000086e-03	2.199832e+00
-7.880000000000087e-03	2.199753e+00
-7.870000000000087e-03	2.199674e+00
-7.860000000000087e-03	2.199594e+00
-7.850000000000088e-03	2.199515e+00
-7.840000000000088e-03	2.199435e+00
-7.830000000000089e-03	2.199356e+00
-7.820000000000089e-03	2.199276e+00
-7.810000000000089e-03	2.199196e+00
-7.800000000000090e-03	2.199116e+00
-7.790000000000090e-03	2.199036e+00
-7.780000000000091e-03	2.198956e+00
-7.770000000000091e-03	2.198875e+00
-7.760000000000091e-03	2.198795e+00
-7.750000000000092e-03	2.198714e+00
-7.740000000000092e-03	2.198634e+00
-7.730000000000093e-03	2.198553e+00
-7.720000000000093e-03	2.198472e+00
-7.710000000000094e-03	2.198391e+00
-7.700000000000094e-03	2.198310e+00
-7.690000000000094e-03	2.198229e+00
-7.680000000000095e-03	2.198148e+00
-7.670000000000095e-03	2.198067e+00
-7.660000000000096e-03	2.197985e+00
-7.650000000000096e-03	2.197904e+00
-7.640000000000096e-03	2.197822e+00
-7.630000000000097e-03	2.197741e+00
-7.620000000000097e-03	2.197659e+00
-7.610000000000098e-03	2.197577e+00
-7.600000000000098e-03	2.197495e+00
-7.590000000000098e-03	2.197413e+00
-7.580000000000099e-03	2.197330e+00
-7.570000000000099e-03	2.197248e+00
-7.560000000000100e-03	2.197166e+00
-7.550000000000100e-03	2.197083e+00
